datetime,value
2026-02-23T00:06:59,5
2026-02-23T00:16:56,4
2026-02-23T00:26:53,6
2026-02-23T00:36:49,10
2026-02-23T00:46:46,10
2026-02-23T00:56:43,6
2026-02-23T01:06:40,4
2026-02-23T01:16:36,6
2026-02-23T01:26:33,9
2026-02-23T01:36:30,10
2026-02-23T01:46:27,7
2026-02-23T01:56:23,6
2026-02-23T02:06:20,5
2026-02-23T02:16:17,10
2026-02-23T02:26:14,7
2026-02-23T02:36:10,9
2026-02-23T02:46:07,7
2026-02-23T02:56:04,6
2026-02-23T03:06:01,7
2026-02-23T03:15:57,11
2026-02-23T03:25:54,13
2026-02-23T03:35:51,7
2026-02-23T03:45:48,6
2026-02-23T03:55:44,6
2026-02-23T04:05:41,6
2026-02-23T04:15:38,6
2026-02-23T04:25:34,9
2026-02-23T04:35:31,9
2026-02-23T04:45:28,14
2026-02-23T04:55:25,10
2026-02-23T05:05:22,5
2026-02-23T05:15:19,10
2026-02-23T05:25:16,7
2026-02-23T05:35:12,9
2026-02-23T05:45:09,9
2026-02-23T05:55:05,10
2026-02-23T06:05:02,11
2026-02-23T06:14:59,10
2026-02-23T06:24:56,10
2026-02-23T06:34:53,14
2026-02-23T06:44:49,10
2026-02-23T06:54:46,11
2026-02-23T07:04:43,10
2026-02-23T07:14:39,14
2026-02-23T07:24:36,10
2026-02-23T07:34:33,14
2026-02-23T07:44:30,13
2026-02-23T07:54:26,14
2026-02-23T08:04:23,16
2026-02-23T08:14:20,12
2026-02-23T08:24:16,13
2026-02-23T08:34:13,19
2026-02-23T08:44:10,16
2026-02-23T08:54:07,16
2026-02-23T09:04:04,15
2026-02-23T09:14:01,13
2026-02-23T09:23:58,18
2026-02-23T09:33:54,19
2026-02-23T09:43:51,15
2026-02-23T09:53:48,16
2026-02-23T10:03:45,12
2026-02-23T10:13:41,18
2026-02-23T10:23:38,16
2026-02-23T10:33:35,15
2026-02-23T10:43:32,15
2026-02-23T10:53:28,13
2026-02-23T11:03:25,15
2026-02-23T11:13:22,14
2026-02-23T11:23:19,12
2026-02-23T11:33:15,11
2026-02-23T11:43:12,18
2026-02-23T11:53:09,13
2026-02-23T12:03:05,19
2026-02-23T12:13:02,11
2026-02-23T12:22:58,13
2026-02-23T12:32:54,13
2026-02-23T12:42:50,11
2026-02-23T12:52:47,10
2026-02-23T13:02:44,10
2026-02-23T13:12:40,12
2026-02-23T13:22:37,6
2026-02-23T13:32:34,9
2026-02-23T13:42:31,11
2026-02-23T13:52:27,14
2026-02-23T14:02:24,10
2026-02-23T14:12:21,10
2026-02-23T14:22:17,11
2026-02-23T14:32:14,10
2026-02-23T14:42:11,13
2026-02-23T14:52:07,13
2026-02-23T15:02:04,13
2026-02-23T15:12:01,11
2026-02-23T15:21:58,10
